model,MAPE,SDMAPE,width,p.in,absmax,meanbias
fifdj ~ amatc,3.87,2.8,5.52,0.47,10,-2.4
qdj ~ amatc,3.93,2.76,5.72,0.53,11,-2.87
mdj ~ amatc,4.4,2.72,6.05,0.4,12,-4.4
