"","model","MAPE","SDMAPE","width","p.in","absmax","meanbias"
"1","mdj ~ amatc",4.4,2.72,6,0.27,12,-4.4
"2","mdj ~ msstc",1.73,1.53,6,0.93,5,-0.93
"3","mdj ~ pice",3.73,3.45,6,0.53,11,-3.6
"4","mdj ~ amatc + msstc",2.4,1.72,6,0.8,7,-2
"5","mdj ~ amatc + pice",4.07,3.03,6,0.53,10,-3.93
"6","mdj ~ msstc + pice",2.27,2.19,6,0.8,7,-1.6
"7","mdj ~ amatc + msstc + pice",2.27,1.94,6,0.8,6,-1.87
